verifRuleCode,verifRuleName,verifRuleSeverity,modelGUID,modelBusName,modelTechName,containerGUID,containerBusName,containerTechName,entityGUID,entityBusName,entityTechName,relationshipGUID,relationshipName,attribGUID,attribBusName,attribTechName,attribDataType,attribLength,attribPrecision,attribScale,attribRequired,attribDefault,glossTermBusName,glossTermTechName,glossSynonyms,rulesRequired,rulesDefault,rulesDataType,rulesLength,rulesPrecision,rulesScale
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,,,,,,,,,,,,,,,,,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,,,,,,,,,,,,,,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,,,,,,,,,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,0a3f0f2e-a2a8-4310-bda5-c78fcfcc218d,Zipcode,,string,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,0dc486ab-d6c2-419a-bdf9-3acb32a5612b,Street1,,string,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,1db18104-0b03-411c-a3a1-cb1f53492a42,Type,,string,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,5357cecf-8cc5-466b-b9e0-1f29b948f1a9,Geo,,document,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,661bbb97-deef-4ece-94e8-7e9036732be2,Location,,document,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,7b1f311a-b99e-4264-a861-3bca04d63929,City,,string,,,,true,,,,,,,,,,
invalidTerms,Invalid terms,warning,e1b9502a-669e-42a4-bc34-621b0db1b021,New Model,,4182fd6f-cfcb-4977-8df2-b96d96225569,sample_mflix,,831f83a2-f4ed-4e20-be7c-6460015de5a0,Theaters,,,,9e39b270-17aa-4b05-b876-74b935b5e8df,Address,,document,,,,true,,,,,,,,,,
